date,crop,price_nominal,price_real,volume
2019-07-29,barley,1.1259,1.196365954733822,279595.82
2019-07-30,barley,1.1304,1.201147593241951,115369.0
2019-07-31,barley,1.129,1.1996599723727557,77833.1
2019-08-01,barley,1.1348,1.205822973116566,169398.8
2019-08-02,barley,1.1233,1.1936032302624588,188451.9
2019-08-05,barley,1.125,1.1954096270321966,22365.0
2019-08-06,barley,1.1432,1.2147486983317397,146141.6
2019-08-07,barley,1.1228,1.193071937094889,275106.5
2019-08-08,barley,1.1116,1.181170970141324,28633.6
2019-08-09,barley,1.1172,1.1871214536181065,27864.04
2019-08-15,barley,1.1161,1.185952608649453,78218.88
2019-08-16,barley,1.129,1.1996599723727557,8999.26
2019-08-19,barley,1.1302,1.200935075974923,86447.7
2019-08-20,barley,1.1536,1.2257995962171928,274302.35
2019-08-21,barley,1.1459,1.2176176814366169,323958.88
2019-08-22,barley,1.1667,1.2397194772075233,179162.5
2019-08-23,barley,1.1446,1.2162363192009351,816852.9
2019-08-26,barley,1.1772,1.2508766337264905,346612.45
2019-08-27,barley,1.1673,1.240357029008607,334068.91
2019-08-28,barley,1.1961,1.2709595154606312,340923.3
2019-08-29,barley,1.1941,1.268834342790352,355058.36
2019-09-02,barley,1.2153,1.2913611730953145,707615.12
2019-09-03,barley,1.2143,1.2902985867601744,442171.3
2019-09-04,barley,1.2116,1.2874296036552972,342461.2
2019-09-05,barley,1.2012,1.276378705769844,457121.8
2019-09-06,barley,1.2016,1.2768037403039,162775.44
2019-09-09,barley,1.1806,1.2544894272659657,121668.6
2019-09-10,barley,1.2049,1.280310275209861,116562.7
2019-09-11,barley,1.2015,1.2766974816703858,243769.82
2019-09-12,barley,1.2,1.2751036021676765,30000.0
2019-09-13,barley,1.19,1.264477738816279,60334.19
2019-09-16,barley,1.1915,1.2660716183189886,179266.2
2019-09-17,barley,1.183,1.257039634470301,58084.8
2019-09-18,barley,1.2,1.2751036021676765,66480.0
2019-09-19,barley,1.179,1.252789289129742,55555.7
2019-09-20,barley,1.179,1.252789289129742,167446.0
2019-09-23,barley,1.0,1.0625863351397302,60000.0
2019-09-24,barley,1.1974,1.272340877696313,92220.0
2019-09-25,barley,1.1887,1.2630963765805974,218213.2
2019-09-26,barley,1.19,1.264477738816279,22657.6
2019-09-27,barley,1.1824,1.2564020826692168,161882.5
2019-09-30,barley,1.175,1.248538943789183,56564.5
2019-10-01,barley,1.1866,1.260864945276804,116099.22
2019-10-02,barley,1.1862,1.260439910742748,312132.36
2019-10-03,barley,1.1826,1.256614599936245,196966.0
2019-10-04,barley,1.19,1.264477738816279,29750.0
2019-10-07,barley,1.2,1.2751036021676765,182784.0
2019-10-08,barley,1.1959,1.2707469981936033,124614.4
2019-10-09,barley,1.1958,1.2706407395600894,148194.65
2019-10-10,barley,1.2,1.2751036021676765,38507.7
2019-10-11,barley,1.1875,1.2618212729784295,251976.4
2019-10-14,barley,1.1954,1.2702157050260334,170386.4
2019-10-15,barley,1.1932,1.267878015088726,75170.0
2019-10-16,barley,1.194,1.2687280841568378,193949.4
2019-10-17,barley,1.2003,1.275422378068218,172921.6
2019-10-18,barley,1.2261,1.3028371055148231,227290.5
2019-10-21,barley,1.2,1.2751036021676765,51984.0
2019-10-22,barley,1.1969,1.2718095845287432,85673.2
2019-10-23,barley,1.2176,1.2938051216661357,127290.9
2019-10-24,barley,1.2068,1.2823291892466264,151433.8
2019-10-25,barley,1.21,1.2857294655190736,93194.2
2019-10-28,barley,1.2023,1.2775475507384977,50859.2
2019-10-30,barley,1.2087,1.284348103283392,56253.0
2019-10-31,barley,1.2004,1.275528636701732,161047.79
2019-11-01,barley,1.2189,1.2951864839018172,266842.65
2019-11-04,barley,1.2042,1.2795664647752631,510155.4
2019-11-05,barley,1.2135,1.2894485176920627,190203.7
2019-11-06,barley,1.2304,1.307406226755924,202526.6
2019-11-07,barley,1.2387,1.3162256933375838,64637.9
2019-11-08,barley,1.2034,1.2787163957071517,372916.0
2019-11-11,barley,1.2307,1.307725002656466,264584.15
2019-11-12,barley,1.2426,1.3203697800446288,365287.3
2019-11-13,barley,1.2536,1.3320582297311658,227548.05
2019-11-14,barley,1.2483,1.3264265221549252,112143.6
2019-11-15,barley,1.2593,1.3381149718414624,246555.43
2019-11-18,barley,1.2756,1.35543512910424,441206.6
2019-11-19,barley,1.2678,1.34714695569015,278537.63
2019-11-20,barley,1.2878,1.3683986823929446,122792.44
2019-11-21,barley,1.294,1.374986717670811,246597.89
2019-11-22,barley,1.3042,1.3858250982892362,289080.44
2019-11-25,barley,1.2875,1.3680799064924027,299449.0
2019-11-26,barley,1.3109,1.3929444267346722,177600.8
2019-11-27,barley,1.3209,1.4035702900860696,283848.92
2019-11-28,barley,1.3323,1.4156837743066626,328617.6
2019-11-29,barley,1.3557,1.440548294548932,378362.31
2019-12-02,barley,1.3563,1.4411858463500162,505619.84
2019-12-03,barley,1.3531,1.437785570077569,790491.4
2019-12-04,barley,1.3643,1.449686537031134,608872.9
2019-12-05,barley,1.3688,1.4544681755392628,196398.7
2019-12-06,barley,1.3594,1.4444798639889491,427379.4
2019-12-09,barley,1.367,1.4525555201360112,395347.17
2019-12-10,barley,1.3606,1.445754967591117,264653.2
2019-12-11,barley,1.3622,1.4474551057273406,412710.53
2019-12-12,barley,1.3409,1.4248220167888643,359846.38
2019-12-13,barley,1.3619,1.4471363298267987,224357.6
2019-12-16,barley,1.3646,1.450005312931676,1236864.6
2019-12-17,barley,1.343,1.4270534480926576,133120.2
2019-12-18,barley,1.361,1.4461800021251727,993686.5
2019-12-19,barley,1.3524,1.4370417596429712,226611.2
2019-12-20,barley,1.3696,1.4553182446073745,190128.4
2019-12-23,barley,1.3628,1.4480926575284243,165503.32
2019-12-24,barley,1.3465,1.4307725002656468,507223.02
2019-12-25,barley,1.3533,1.4379980873445968,308930.5
2019-12-26,barley,1.3597,1.444798639889491,604036.24
2019-12-27,barley,1.3335,1.4169588779088302,1371937.0
2019-12-30,barley,1.3436,1.4276909998937417,1519070.15
2019-12-31,barley,1.3534,1.4381043459781109,367186.54
2020-01-02,barley,1.3534,1.4381043459781109,220584.84
2020-01-03,barley,1.3808,1.4672192115609397,159122.0
2020-01-06,barley,1.38,1.4663691424928276,13.8
2020-01-07,barley,1.3524,1.4370417596429712,257356.5
2020-01-08,barley,1.3505,1.4350228456062055,69822.0
2020-01-09,barley,1.3567,1.441610880884072,279334.5
2020-01-10,barley,1.3562,1.441079587716502,97428.8
2020-01-13,barley,1.3092,1.3911380299649347,35991.1
2020-01-14,barley,1.3516,1.4361916905748593,151904.21
2020-01-15,barley,1.3387,1.4224843268515568,157899.8
2020-01-16,barley,1.3211,1.4037828073530976,62991.2
2020-01-20,barley,1.3319,1.4152587397726069,122698.4
2020-01-21,barley,1.3405,1.4243969822548084,59114.9
2020-01-22,barley,1.3222,1.4049516523217511,125484.6
2020-01-23,barley,1.3332,1.4166401020082882,101320.0
2020-01-24,barley,1.3289,1.4120709807671874,334036.2
2020-01-27,barley,1.338,1.4217405164169592,143720.63
2020-01-28,barley,1.3172,1.3996387206460523,62552.6
2020-01-29,barley,1.3076,1.3894378918287114,26909.8
2020-01-30,barley,1.3,1.3813622356816493,26104.0
2020-01-31,barley,1.3,1.3813622356816493,79820.0
2020-02-03,barley,1.3069,1.3793139841688653,298150.58
2020-02-04,barley,1.3157,1.3886015831134566,255718.52
2020-02-05,barley,1.316,1.3889182058047491,139336.4
2020-02-06,barley,1.3016,1.3737203166226917,351757.0
2020-02-07,barley,1.3069,1.3793139841688653,59488.7
2020-02-10,barley,1.2956,1.367387862796834,82166.2
2020-02-11,barley,1.3044,1.3766754617414247,587297.6
2020-02-12,barley,1.3064,1.3787862796833774,396196.48
2020-02-13,barley,1.3014,1.373509234828496,277460.0
2020-02-14,barley,1.3101,1.3826912928759896,78184.0
2020-02-17,barley,1.3,1.372031662269129,78780.0
2020-02-18,barley,1.3074,1.3798416886543534,132204.0
2020-02-19,barley,1.3,1.372031662269129,81718.0
2020-02-20,barley,1.2654,1.335514511873351,222095.6
2020-02-21,barley,1.2819,1.352928759894459,134968.6
2020-02-24,barley,1.2947,1.366437994722955,197203.1
2020-02-25,barley,1.2882,1.3595778364116096,284618.25
2020-02-26,barley,1.2917,1.3632717678100266,412570.6
2020-02-27,barley,1.2971,1.368970976253298,79265.7
2020-02-28,barley,1.2944,1.3661213720316625,236836.25
2020-03-02,barley,1.2779,1.2892453591606132,273447.2
2020-03-03,barley,1.2712,1.2824858757062143,229739.2
2020-03-04,barley,1.2547,1.2658393866020985,214953.0
2020-03-05,barley,1.2809,1.2922719935431797,334372.4
2020-03-06,barley,1.2815,1.2928773204196933,156312.6
2020-03-09,barley,1.2877,1.2991323648103308,32913.6
2020-03-10,barley,1.281,1.292372881355932,56491.32
2020-03-11,barley,1.268,1.2792574656981437,121072.2
2020-03-12,barley,1.2621,1.2733050847457623,201458.1
2020-03-13,barley,1.2312,1.2421307506053267,162393.0
2020-03-16,barley,1.2608,1.2719935431799836,147111.6
2020-03-17,barley,1.2653,1.2765334947538336,245194.2
2020-03-18,barley,1.2552,1.2663438256658597,481129.8
2020-03-19,barley,1.2369,1.2478813559322033,174928.56
2020-03-20,barley,1.2331,1.244047619047619,339782.2
2020-03-23,barley,1.2564,1.267554479418886,103304.0
2020-03-24,barley,1.2704,1.2816787732041968,764523.5
2020-03-25,barley,1.2605,1.271690879741727,331342.8
2020-03-26,barley,1.2572,1.268361581920904,382619.55
2020-03-27,barley,1.2577,1.268866020984665,204088.89
2020-03-30,barley,1.2835,1.2948950766747376,468129.2
2020-03-31,barley,1.2943,1.3057909604519773,397835.3
2020-04-01,barley,1.3001,1.3158906882591093,354329.45
2020-04-02,barley,1.2753,1.2907894736842107,363001.8
2020-04-03,barley,1.2984,1.31417004048583,432727.18
2020-04-06,barley,1.2876,1.3032388663967611,317309.36
2020-04-07,barley,1.2888,1.3044534412955464,211667.07
2020-04-08,barley,1.2967,1.312449392712551,1526056.78
2020-04-09,barley,1.3066,1.3224696356275305,381061.3
2020-04-10,barley,1.294,1.3097165991902835,261487.4
2020-04-13,barley,1.2999,1.3156882591093118,367084.0
2020-04-14,barley,1.2975,1.313259109311741,495317.3
2020-04-15,barley,1.3038,1.3196356275303645,1535308.19
2020-04-16,barley,1.3017,1.31751012145749,650709.18
2020-04-17,barley,1.3006,1.3163967611336032,389882.32
2020-04-20,barley,1.2955,1.3112348178137654,544720.5
2020-04-21,barley,1.3022,1.318016194331984,1042875.8
2020-04-22,barley,1.3033,1.3191295546558703,2390694.1
2020-04-24,barley,1.2961,1.311842105263158,161078.5
2020-04-27,barley,1.309,1.324898785425101,598898.8
2020-04-28,barley,1.2823,1.2978744939271256,148080.0
2020-04-29,barley,1.284,1.2995951417004048,264432.9
2020-04-30,barley,1.2947,1.310425101214575,670140.5
2020-05-04,barley,1.3132,1.3504730563554093,368373.89
2020-05-05,barley,1.3104,1.3475935828877006,183094.0
2020-05-06,barley,1.2824,1.3187988482106128,250528.77
2020-05-07,barley,1.2785,1.314788153023447,591554.02
2020-05-08,barley,1.2793,1.3156108597285068,255807.32
2020-05-11,barley,1.2759,1.3121143562320032,639917.33
2020-05-12,barley,1.2736,1.309749074454957,669043.79
2020-05-13,barley,1.2758,1.312011517893871,472784.4
2020-05-14,barley,1.2693,1.3053270259152612,548092.17
2020-05-15,barley,1.2683,1.304298642533937,284393.0
2020-05-18,barley,1.252,1.2875359934183463,335828.8
2020-05-20,barley,1.2651,1.301007815713698,198165.74
2020-05-21,barley,1.25,1.2854792266556971,62500.0
2020-05-22,barley,1.259,1.294734677087618,196978.36
2020-05-27,barley,1.262,1.297819827231592,498588.92
2020-05-28,barley,1.2574,1.293089263677499,332516.7
2020-05-29,barley,1.2657,1.3016248457424928,99901.4
2020-06-01,barley,1.2693,1.2930929095354526,630667.4
2020-06-02,barley,1.2764,1.3003259983700084,255219.3
2020-06-03,barley,1.2717,1.2955378973105136,421355.7
2020-06-04,barley,1.2883,1.3124490627546863,415755.8
2020-06-05,barley,1.2839,1.3079665851670743,511468.17
2020-06-08,barley,1.2914,1.3156071719641405,564910.1
2020-06-09,barley,1.2779,1.3018541157294217,306690.0
2020-06-10,barley,1.2983,1.322636511817441,175327.8
2020-06-11,barley,1.2911,1.3153015484922577,324211.2
2020-06-12,barley,1.2852,1.3092909535452324,88574.4
2020-06-15,barley,1.2905,1.3146903015484923,126073.6
2020-06-16,barley,1.2997,1.324062754686227,161680.9
2020-06-17,barley,1.2912,1.3154034229828853,106391.0
2020-06-18,barley,1.2616,1.2852485737571315,227800.05
2020-06-19,barley,1.2919,1.3161165444172782,160691.8
2020-06-22,barley,1.2897,1.3138753056234722,75109.5
2020-06-25,barley,1.3268,1.351670741646292,54026.4
2020-06-26,barley,1.315,1.339649551752241,263000.0
2020-06-29,barley,1.3005,1.324877750611247,239441.2
2020-06-30,barley,1.3024,1.3268133659331705,512435.4
2020-07-01,barley,1.3122,1.315884476534296,246727.28
2020-07-02,barley,1.3185,1.322202166064982,716125.46
2020-07-03,barley,1.3305,1.3342358604091458,954017.9
2020-07-06,barley,1.3472,1.3509827517047734,1133285.12
2020-07-07,barley,1.3557,1.3595066185318894,1225038.63
2020-07-08,barley,1.3438,1.3475732049739273,1840154.48
2020-07-09,barley,1.3406,1.3443642198154837,1271747.8
2020-07-10,barley,1.3466,1.350381066987565,1847153.15
2020-07-13,barley,1.3351,1.3388487765744084,1054012.58
2020-07-14,barley,1.3373,1.3410549538708385,886819.2
2020-07-16,barley,1.3335,1.3372442839951866,1133254.38
2020-07-17,barley,1.3364,1.3401524267950262,1511707.53
2020-07-20,barley,1.3314,1.3351383874849578,593523.32
2020-07-21,barley,1.336,1.3397513036502209,936107.42
2020-07-22,barley,1.3341,1.337845968712395,2021950.9
2020-07-23,barley,1.3366,1.340352988367429,764231.35
2020-07-24,barley,1.3366,1.340352988367429,1136245.85
2020-07-27,barley,1.3282,1.3319294023265145,825070.49
2020-07-28,barley,1.3351,1.3388487765744084,788560.27
2020-07-29,barley,1.3328,1.336542318491777,576783.38
2020-07-30,barley,1.3415,1.3452667468912956,771048.8
2020-08-04,barley,1.3361,1.368113864427606,514820.07
2020-08-05,barley,1.3285,1.360331763260291,727108.78
2020-08-06,barley,1.3372,1.3692402211755068,661160.79
2020-08-07,barley,1.3326,1.3645300020479214,722820.82
2020-08-10,barley,1.3254,1.35715748515257,642949.7
2020-08-11,barley,1.323,1.3546999795207864,771870.52
2020-08-12,barley,1.3346,1.366577923407741,701605.36
2020-08-13,barley,1.3384,1.3704689739913989,696033.44
2020-08-14,barley,1.3289,1.3607413475322547,680072.63
2020-08-17,barley,1.3296,1.3614581200081917,738269.68
2020-08-18,barley,1.3359,1.367909072291624,825839.37
2020-08-19,barley,1.3343,1.3662707352037682,725255.04
2020-08-20,barley,1.352,1.3843948392381733,462156.59
2020-08-21,barley,1.3361,1.368113864427606,411021.62
2020-08-24,barley,1.3374,1.3694450133114888,322422.34
2020-08-25,barley,1.343,1.3751791931189845,546231.65
2020-08-26,barley,1.3256,1.357362277288552,561112.98
2020-08-27,barley,1.3452,1.377431906614786,469353.44
2020-08-28,barley,1.3236,1.3553143559287324,606360.1
2020-08-31,barley,1.3374,1.3694450133114888,865866.04
2020-09-01,barley,1.3456,1.369149369149369,1047569.64
2020-09-02,barley,1.3331,1.3564306064306064,577183.7
2020-09-03,barley,1.3423,1.365791615791616,734168.76
2020-09-04,barley,1.3433,1.3668091168091168,718396.3
2020-09-07,barley,1.3511,1.374745624745625,1623576.92
2020-09-08,barley,1.3456,1.369149369149369,858352.54
2020-09-09,barley,1.3508,1.3744403744403744,568806.5
2020-09-10,barley,1.3465,1.3700651200651202,387266.7
2020-09-11,barley,1.3401,1.3635531135531136,528666.2
2020-09-14,barley,1.3508,1.3744403744403744,2234994.24
2020-09-15,barley,1.3513,1.3749491249491248,1179131.59
2020-09-16,barley,1.3454,1.368945868945869,986280.8
2020-09-17,barley,1.3383,1.3617216117216118,345709.43
2020-09-18,barley,1.3546,1.3783068783068784,329975.62
2020-09-21,barley,1.3557,1.3794261294261294,1260126.1
2020-09-22,barley,1.3696,1.3935693935693936,2169278.26
2020-09-23,barley,1.3659,1.3898046398046398,1304591.96
2020-09-24,barley,1.3751,1.3991656491656492,2568798.52
2020-09-25,barley,1.3912,1.4155474155474157,3952379.88
2020-09-28,barley,1.3931,1.4174806674806677,3842695.1
2020-09-29,barley,1.4014,1.4259259259259258,3580863.91
