year,harvest_area_ha,plant_area_ha,production_mass_t,yield_t_ha,gs_t2m_min,gs_t2m_max,gs_t2m_mean,gs_t2m_range,gs_t2m_std,gs_precip_sum,gs_precip_mean,gs_heatwave_35_days,gs_heatwave_30_days,gs_frost_days,gs_heavy_rain_days,gs_dry_spell_max,gs_flood_risk_months
2004,317834.0,318038.0,774695.0,2.44,3.953067963779997,12.834277982169077,8.022714244157706,8.881210018389078,8.006285929168017,168.05483496189117,28.009139160315197,0,0,62,0,25,0
2005,324716.0,325034.0,731333.0,2.25,4.5822917868088835,13.300876856415089,8.283236734373759,8.718585069606204,6.776388767786095,226.96699440479279,25.218554933865864,0,0,82,0,27,0
2006,330938.2,333366.2,948673.0,2.87,4.166437259416701,12.749243349662912,7.796498854479434,8.58280609024621,7.137864777727792,246.288343667984,27.36537151866489,0,2,65,2,20,1
2007,274368.8,299969.6,525787.0,1.92,4.136200705129237,12.963361192646355,7.857740429784093,8.82716048751712,7.702643488388025,251.12451046705246,27.90272338522805,0,5,85,2,20,1
2008,244395.1,260247.9,469830.0,1.92,4.33197833015806,13.36831605485107,8.174481692812014,9.03633772469301,7.948673892524948,282.6510310769081,31.405670119656456,0,5,86,1,29,1
2009,265279.4,265279.4,723762.0,2.73,4.637150838724185,13.049527874074075,8.203401505437789,8.41237703534989,6.54472559146715,312.57438439130783,34.73048715458976,0,0,64,1,17,2
2010,253184.6,253984.6,554870.0,2.19,6.044880185013228,14.592614447491039,9.676456146230585,8.54773426247781,6.086724929335877,352.071291744709,39.11903241607878,0,0,30,1,26,3
2011,218093.8,224693.9,777542.0,3.5700000000000003,5.005084801463816,13.416264967242704,8.479798445348097,8.411180165778887,5.74464200661861,408.52907317876816,45.39211924208535,0,0,58,1,22,5
2012,243885.6,243923.0,613489.0,2.52,3.319287029852882,11.815234405091088,6.965091772024802,8.495947375238208,8.139331238042153,299.3401389122009,33.260015434688995,0,6,106,1,27,1
2013,230600.9,230600.9,761080.0,3.3000000000000003,6.0380007512365585,14.521240563582523,9.668141968153353,8.483239812345964,6.686494712869108,278.015911757946,30.890656861994003,0,6,48,1,22,0
2014,232276.1,240377.7,650101.0,2.8000000000000003,4.890028629522998,14.023145935671275,8.69255439821565,9.133117306148275,6.187240097832362,254.07625555992126,28.230695062213474,0,3,56,2,22,0
2015,241645.4,241645.4,853627.0,3.53,4.574302895823384,12.695588303696022,8.009772658456614,8.121285407872639,6.126143165088707,348.1930261552334,38.688114017248154,0,0,59,3,23,3
2016,271421.8,276641.8,734012.0,2.7,5.808360706511886,14.752854855456267,9.577680763112841,8.944494148944381,7.075879233307654,223.57753598690033,24.841948442988926,0,8,58,2,29,1
2017,242241.6,242241.6,795535.0,3.28,3.7614967673130226,12.37446301752473,7.490418544576719,8.612966250211707,8.070530220728662,304.02003157138824,33.78000350793203,0,4,88,1,25,1
2018,272564.0,274480.6,856917.0,3.14,6.255779806965908,15.189611033024407,10.032453577673664,8.9338312260585,6.258854463360679,316.1720568537712,35.130228539307915,0,0,34,0,15,2
2019,305319.8,305319.8,1006617.0,3.3000000000000003,5.164865574952125,13.457887978946067,8.739425026107698,8.293022403993941,6.992984408313938,347.44915062803193,38.60546118089243,0,2,60,1,16,3
2020,315443.8,315443.8,1027276.0,3.26,5.48278289206382,14.012214192905905,9.151512314955324,8.529431300842084,6.847178846788035,275.6868227992177,30.631869199913076,0,3,60,0,20,0
2021,328533.6,334017.0,768266.0,2.34,5.647560739461256,14.740449492857785,9.487370300516128,9.092888753396528,6.8019386534929485,198.95676987698243,22.10630776410916,0,0,47,0,18,0
2022,333107.8,336040.7,1055270.0,3.17,4.169844694042072,12.540633096451101,7.760985234927056,8.370788402409028,7.646073510230741,280.4833040703088,31.164811563367646,0,0,77,1,27,1
2023,330263.1,331163.1,1150516.0,3.48,5.001232040470473,13.546155157241422,8.52870058261734,8.544923116770951,6.175626322813664,269.9698820710182,29.99665356344647,0,0,54,1,21,2
2024,297563.3,343136.2,852876.0,2.87,7.391476961557493,16.22756396861657,11.127898665872781,8.836087007059078,6.85683340305034,250.8671232061527,27.874124800683635,0,19,27,1,24,1
