year,harvest_area_ha,plant_area_ha,production_mass_t,yield_t_ha,gs_t2m_min,gs_t2m_max,gs_t2m_mean,gs_t2m_range,gs_t2m_std,gs_precip_sum,gs_precip_mean,gs_heatwave_35_days,gs_heatwave_30_days,gs_frost_days,gs_heavy_rain_days,gs_dry_spell_max,gs_flood_risk_months,target_yield_t_ha
2004,11490.0,11490.0,76547.0,6.66,12.869002992903225,23.244828757258063,17.798555898100357,10.375825764354838,5.02344497137329,94.05951857566833,15.676586429278055,0,12,2,0,31,0,6.66
2005,10292.0,10292.0,78199.0,7.6,13.49666401222222,23.638329093942655,18.342639250009498,10.141665081720431,5.229367865966708,100.11819911003113,16.68636651833852,0,27,5,0,31,0,7.6
2006,7918.0,7918.0,51577.0,6.51,13.98161855580645,24.12048004265233,18.81061698672043,10.138861486845876,5.206514218104963,115.51599717140198,19.25266619523366,0,29,0,0,31,2,6.51
2007,9158.3,9158.3,57902.0,6.32,13.993244588514337,24.600186967616484,19.04701346860215,10.606942379102149,6.173361165766501,82.93524444103241,13.822540740172068,0,43,2,0,31,1,6.32
2008,12607.7,12607.7,80307.0,6.37,14.1867011329319,24.610132868817203,19.189448617455195,10.423431735885305,4.799704386174053,101.22084850072861,16.8701414167881,0,31,0,1,31,1,6.37
2009,13137.8,13137.8,104129.0,7.930000000000001,12.95527627358423,22.820305025448032,17.687903656630823,9.865028751863798,5.126912267313085,117.77126955986023,19.62854492664337,0,7,0,1,31,0,7.930000000000001
2010,15481.7,15481.7,103430.0,6.68,14.8578597790681,24.9836898016129,19.70038354863799,10.125830022544802,5.627698483281057,129.49494397640228,21.582490662733715,3,37,0,0,31,0,6.68
2011,23097.1,23097.4,159858.0,6.92,13.089173633118278,22.7375802234767,17.688291456666665,9.648406590358421,5.836372451375061,168.41753101348877,28.069588502248127,0,17,2,1,31,2,6.92
2012,38253.9,38253.9,312059.0,8.16,14.23908063795699,24.7582624672043,19.2636642787276,10.51918182924731,5.092352124362481,114.75692558288574,19.12615426381429,1,28,0,0,27,1,8.16
2013,34131.0,34131.0,353552.0,10.36,14.023708702688173,24.166629940501792,18.875351040465947,10.14292123781362,4.521724303834695,103.10564041137695,17.18427340189616,0,21,0,0,31,0,10.36
2014,37218.5,38100.2,382099.0,10.27,14.161391137616489,24.025062073655914,18.871524526451612,9.863670936039426,5.108107361574755,125.59554409980774,20.93259068330129,0,36,0,1,31,0,10.27
2015,54886.1,54886.1,558190.0,10.17,13.726059104594983,23.63337306143369,18.429017664534047,9.907313956838708,6.025722948399073,126.24706745147705,21.04117790857951,0,35,5,2,31,1,10.17
2016,63498.1,63526.9,638300.0,10.05,14.805254996021505,24.94164347876344,19.6399344812724,10.136388482741934,4.665817423647852,114.70781064033508,19.117968440055847,0,39,0,1,31,0,10.05
2017,63797.2,63797.2,621884.0,9.75,14.269731115878136,24.48521334336918,19.154697392437274,10.215482227491039,5.6592013132944,135.33775997161865,22.556293328603108,1,46,0,0,31,1,9.75
2018,107462.6,107462.6,1104538.0,10.28,14.959036928369175,25.067214775448026,19.81159082611111,10.108177847078855,3.9931922549074996,151.5522278547287,25.258704642454784,0,24,0,0,28,2,10.28
2019,124535.3,124535.3,1345064.0,10.8,13.702431844480287,23.614243969946234,18.44116346767025,9.91181212546595,5.223416957698039,136.06793674826622,22.67798945804437,0,12,2,1,31,2,10.8
2020,103399.8,103399.8,1070626.0,10.35,14.374570762885305,24.8027194046595,19.397010172240144,10.428148641774193,5.552557233052774,102.42871750948461,17.071452918247434,1,40,0,0,31,0,10.35
2021,124182.1,124182.1,1261475.0,10.16,14.053082813594983,24.213208928566306,18.89432936145699,10.160126114971327,4.7505017331368125,95.76681935787201,15.961136559645334,0,25,3,0,31,1,10.16
2022,186212.5,186212.5,2044202.0,10.98,13.990404110087814,24.334439282706096,18.889359952867384,10.344035172618279,4.513417112830462,95.29849121162442,15.883081868604071,0,23,1,1,31,0,10.98
2023,185505.4,185505.4,2043903.0,11.02,14.210625743234766,23.983735561021504,18.828186478817205,9.773109817786738,6.266122585441246,168.7318655848503,28.121977597475052,6,40,1,1,31,2,11.02
2024,158993.9,158993.9,2011729.0,12.65,15.897619997885306,25.720040055555558,20.542687288494623,9.822420057670252,4.753001636844792,132.1587544055722,22.02645906759537,0,47,0,1,21,2,12.65
