date,t2m_min,t2m_max,t2m_mean,precipitation
2004-01-01,-2.1416626,4.808563,0.7331238,0.0
2004-01-02,0.0057373047,3.9368896,1.3239441,3.3265228271484375
2004-01-03,-0.019439697,5.595978,2.08432,3.3265228271484375
2004-01-04,2.58844,5.5700073,3.4498901,1.6632614135742188
2004-01-05,0.54074097,5.524475,2.4065247,0.0
2004-01-06,-0.76293945,4.7384033,0.8536072,0.0
2004-01-07,-8.675201,-4.7420044,-6.755707,0.0
2004-01-08,-12.654999,-6.3508606,-9.918671,0.0
2004-01-09,-10.440033,-2.5605164,-7.6781616,0.0
2004-01-10,-9.926361,0.20529175,-5.3221436,1.939212203025818
2004-01-11,-3.1038513,1.6551514,-0.89834595,7.076180458068848
2004-01-12,-1.46344,2.3619995,-0.12826538,1.0108829736709597
2004-01-13,-2.3269958,3.8817139,0.14370728,0.0
2004-01-14,-2.8340454,4.3146057,0.16168213,0.0
2004-01-15,0.13421631,5.980591,2.7057495,2.021765947341919
2004-01-16,4.6543274,7.8637695,5.603546,3.613609552383423
2004-01-17,-2.659027,2.3450317,-0.6698303,0.0
2004-01-18,-4.9324646,5.429291,-1.3996582,0.0
2004-01-19,-4.4531555,6.0882263,-0.8963928,0.0
2004-01-20,-4.224243,5.935089,-0.89230347,0.0
2004-01-21,-1.0032654,5.8156433,2.2154846,3.651131391525269
2004-01-22,1.8726501,3.4622498,2.872467,4.868175029754639
2004-01-23,-5.8875732,0.08569336,-2.8761292,0.0
2004-01-24,-10.427277,-4.639679,-8.02478,0.0
2004-01-25,-8.271576,0.7685547,-3.3851624,2.4340875148773193
2004-01-26,-2.4683228,2.3181458,-0.90579224,0.0
2004-01-27,-3.5338745,1.4128723,-1.9755554,0.0
2004-01-28,-6.6085815,4.109253,-1.8963013,2.156644821166992
2004-01-29,-0.09667969,5.608734,1.8955994,2.156644821166992
2004-01-30,-0.89746094,4.090088,0.94229126,2.156644821166992
2004-01-31,-0.8374939,3.0614624,0.67749023,6.469934940338135
2004-02-01,-1.5117493,1.9751587,-0.23397827,0.0
2004-02-02,-6.4965515,3.2289734,-2.579773,0.0
2004-02-03,-4.9907837,2.5735474,-1.9239807,0.0
2004-02-04,-3.1329956,3.2832642,-0.8739929,0.0
2004-02-05,-3.7095337,2.8523865,-1.5064087,0.0
2004-02-06,-3.2041016,6.8634033,1.7466125,0.0
2004-02-07,0.4699402,9.521362,3.6107483,0.0
2004-02-08,0.34884644,9.916382,3.8554993,4.16108512878418
2004-02-09,1.643158,9.5963745,4.5431213,0.0
2004-02-10,2.819519,7.643921,4.28421,0.0
2004-02-11,-2.5578003,1.2028198,-1.0210571,0.0
2004-02-12,-5.3396606,5.366211,-0.38711548,0.0
2004-02-13,-3.1960754,3.1455078,1.0116882,0.0
2004-02-14,-11.226196,-7.296417,-9.024292,3.659682512283325
2004-02-15,-14.78891,-6.7271423,-11.013184,0.0
2004-02-16,-8.194458,0.8447876,-4.570404,0.0
2004-02-17,-6.164093,1.763855,-2.4577026,2.8788859844207764
2004-02-18,-1.5848694,1.5944519,-0.47097778,0.0
2004-02-19,-2.6831055,3.9503784,-0.21276855,0.0
2004-02-20,-3.1848755,5.1164856,0.45046997,5.757771968841553
2004-02-21,-6.847229,-1.5202332,-3.3432312,0.0
2004-02-22,-10.03186,-3.393097,-7.360016,1.265273094177246
2004-02-23,-8.435394,1.9914246,-3.370453,1.265273094177246
2004-02-24,-2.601593,6.883972,1.247467,0.0
2004-02-25,-1.3709717,8.667908,2.5985413,0.0
2004-02-26,0.028930664,9.226196,3.529358,0.3417409658432007
2004-02-27,0.6347351,11.838715,5.639984,2.3921866416931152
2004-02-28,6.0520935,13.933136,8.955597,1.025222897529602
2004-02-29,7.0953064,14.390289,9.54361,1.7087048292160034
2004-03-01,5.694214,13.915283,8.61731,0.5105699896812439
2004-03-02,5.5030212,12.611389,8.36972,0.5105699896812439
2004-03-03,4.931122,13.664032,8.283142,0.5105699896812439
2004-03-04,5.797058,17.03064,10.69455,2.552849769592285
2004-03-05,1.7398071,9.744476,7.3445435,0.5105699896812439
2004-03-06,-3.298645,1.084137,-1.5680847,0.0
2004-03-07,-6.259735,0.49221802,-3.9110413,0.0
2004-03-08,-6.393463,3.9920044,-1.8609009,0.0
2004-03-09,-3.9054565,9.25235,1.9457703,0.0
2004-03-10,-0.4041443,7.7343445,3.3309937,0.0
2004-03-11,0.22531128,7.581421,2.9284058,0.0
2004-03-12,-1.1883545,7.901001,2.6631775,0.0
2004-03-13,-1.2651978,6.8694153,2.0905457,0.0
2004-03-14,-2.3890076,5.1078186,0.65057373,0.0
2004-03-15,-3.2298584,6.0083313,0.7167053,0.0
2004-03-16,-1.9610901,8.995331,3.1796265,0.0
2004-03-17,-0.3867798,8.530243,3.3243103,0.0
2004-03-18,-0.040924072,7.4123535,3.0074158,0.0
2004-03-19,-1.09729,8.18869,3.0164185,0.0
2004-03-20,-0.26116943,11.444153,5.2510986,0.0
2004-03-21,0.9270935,14.611725,7.1151733,0.0
2004-03-22,1.979126,16.132538,8.136047,0.0
2004-03-23,1.8461609,17.081573,9.010376,1.7787644863128662
2004-03-24,6.682831,17.365509,10.8506775,0.0
2004-03-25,4.5162354,15.671326,9.332489,0.0
2004-03-26,3.839447,16.2016,9.354279,2.459829330444336
2004-03-27,5.4710083,19.00595,11.850128,3.689743995666504
2004-03-28,8.555054,20.15335,13.435089,0.614957332611084
2004-03-29,9.411804,17.315735,12.088074,0.614957332611084
2004-03-30,5.525421,12.123383,7.622986,0.0
2004-03-31,2.4927063,12.259827,6.845978,0.0
