year,harvest_area_ha,plant_area_ha,production_mass_t,yield_t_ha,t2m_min_4,t2m_min_5,t2m_min_6,t2m_min_7,t2m_min_8,t2m_min_9,t2m_max_4,t2m_max_5,t2m_max_6,t2m_max_7,t2m_max_8,t2m_max_9,t2m_mean_4,t2m_mean_5,t2m_mean_6,t2m_mean_7,t2m_mean_8,t2m_mean_9,precip_mm_4,precip_mm_5,precip_mm_6,precip_mm_7,precip_mm_8,precip_mm_9,heatwave_35_4,heatwave_35_5,heatwave_35_6,heatwave_35_7,heatwave_35_8,heatwave_35_9,heatwave_30_4,heatwave_30_5,heatwave_30_6,heatwave_30_7,heatwave_30_8,heatwave_30_9,frost_4,frost_5,frost_6,frost_7,frost_8,frost_9,heavy_rain_4,heavy_rain_5,heavy_rain_6,heavy_rain_7,heavy_rain_8,heavy_rain_9,dry_spell_max_4,dry_spell_max_5,dry_spell_max_6,dry_spell_max_7,dry_spell_max_8,dry_spell_max_9,flood_risk_4,flood_risk_5,flood_risk_6,flood_risk_7,flood_risk_8,flood_risk_9
2004,11490.0,11490.0,76547.0,6.66,5.032075996666666,9.46519716451613,14.263512183333335,17.007166693548385,17.674633419354837,13.7714325,14.659422816666668,19.57217606451613,24.340249633333332,28.12275158064516,27.975857548387097,24.7985149,9.525518746666668,14.417431290322579,19.390902666666666,22.40762829032258,22.481267161290322,18.568587233333336,35.12705326080322,21.86599111557007,24.981359720230103,6.616104364395142,0.0,5.4690101146698,0,0,0,0,0,0,0,0,0,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,10,25,17,15,31,20,0,0,0,0,0,0
2005,10292.0,10292.0,78199.0,7.6,5.74291484,10.211961341935483,13.84088645,18.672001032258066,18.79888122580645,13.713339183333334,15.43727004,20.277032580645162,24.190303500000002,29.313308354838707,29.33354135483871,23.278518733333332,10.193161022100002,15.205514141935485,19.064815316666667,23.897428451612903,23.724125967741934,17.970790599999997,33.64612674713135,28.66092824935913,11.985762357711792,8.911998271942139,0.0,16.91338348388672,0,0,0,0,0,0,0,0,0,14,13,0,5,0,0,0,0,0,0,0,0,0,0,0,7,11,27,15,31,12,0,0,0,0,0,0
2006,7918.0,7918.0,51577.0,6.51,6.661976113333334,9.948830932258065,15.616142916666666,17.378893467741936,20.178114354838712,14.105753550000001,16.080576566666664,20.184711112903223,26.014031,27.292996322580645,31.341203387096776,23.809361866666666,10.949400796666668,15.055351935483872,20.767438733333332,22.262541838709677,25.42342251612903,18.4055461,39.91678071022034,24.060645818710327,13.54349970817566,0.0,4.49724817276001,33.497822761535645,0,0,0,0,0,0,0,0,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,17,31,17,22,0,0,0,0,1,1
2007,9158.3,9158.3,57902.0,6.32,3.4029093536666664,11.942314967741936,15.933035333333333,18.858097193548385,19.462840516129035,14.360270166666668,12.915574143333334,22.504524451612905,26.55440563333333,30.3499224516129,29.80400722580645,25.472687899999997,7.896247393333334,17.09582119354839,21.225867666666666,24.519040096774194,24.30806016129032,19.237044299999997,23.273616790771484,31.915842175483704,16.263768196105957,0.0,5.017400741577148,6.464616537094116,0,0,0,0,0,0,0,0,5,18,17,3,2,0,0,0,0,0,0,0,0,0,0,0,10,9,20,31,26,13,0,0,0,0,1,0
2008,12607.7,12607.7,80307.0,6.37,7.495973698666666,9.500975525806451,15.403147433333334,18.150570709677417,19.316158096774192,15.253381333333333,18.087565066666667,19.643671758064517,26.28832913333333,29.24145406451613,30.08386529032258,24.3159119,12.480317179999998,14.61313456451613,20.8915467,23.559902967741934,24.40794222580645,19.183848066666666,25.39374154806137,22.19415044784546,14.551408767700195,6.458832740783691,0.0,32.62271499633789,0,0,0,0,0,0,0,0,5,9,15,2,0,0,0,0,0,0,0,0,0,0,0,1,5,13,29,18,31,20,0,0,0,0,0,1
2009,13137.8,13137.8,104129.0,7.930000000000001,5.27107342,9.2631669,15.045266733333333,17.742798838709675,16.992060516129033,13.417291233333334,14.343214933333334,18.81731787096774,25.8293274,27.61675035483871,27.742142193548386,22.5730774,9.522133433333332,14.002150096774193,20.505243866666667,22.55951129032258,22.096000419354837,17.442382833333333,29.50341796875,44.678884506225586,15.138033151626587,8.764065742492676,0.0,19.68686819076538,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,11,13,9,15,31,11,0,0,0,0,0,0
2010,15481.7,15481.7,103430.0,6.68,6.172183223333334,11.542306283870968,14.738084966666666,19.298500225806453,21.007188258064517,16.388895716666664,15.5868358,21.713672322580646,24.383287566666663,29.70694941935484,31.901389967741935,26.610003733333333,10.570652313333333,16.642434483870968,19.502953133333335,24.42688370967742,26.170329451612904,20.889048199999998,34.95290791988373,28.290534019470215,39.709585189819336,5.989471435546875,0.0,20.55244541168213,0,0,0,1,2,0,0,0,0,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,13,27,31,20,0,0,0,0,0,0
2011,23097.1,23097.4,159858.0,6.92,4.821588126666667,8.668388180645161,13.773887066666667,18.587284258064518,17.975514999999998,14.708379166666667,13.2078491,17.486313322580642,23.302710966666666,29.33050641935484,28.286754032258063,24.8113475,8.697490423333333,13.020355193548387,18.50987555,23.931528322580647,22.759962483870968,19.210536766666667,54.49909281730652,54.17638969421387,45.699117183685296,5.827368497848511,0.0,8.21556282043457,0,0,0,0,0,0,0,0,0,11,6,0,2,0,0,0,0,0,0,0,1,0,0,0,13,6,18,13,31,21,1,0,1,0,0,0
2012,38253.9,38253.9,312059.0,8.16,6.536419659999999,10.063185125806452,16.1869446,19.502365612903226,17.761468629032258,15.3841002,17.163051433333333,19.185855064516126,27.257674166666668,30.411500967741937,28.07528587096774,26.456207300000003,11.603939876666667,14.571445532258064,21.743755066666665,24.832197548387096,22.5452055483871,20.2854421,25.073579788208008,52.77666616439819,17.761716842651367,5.408346176147461,7.581264019012451,6.155352592468262,0,0,0,1,0,0,0,0,6,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,27,21,17,20,0,0,0,0,1,0
2013,34131.0,34131.0,353552.0,10.36,6.666286183333333,12.350177322580645,15.247167899999999,17.808207806451612,18.221323387096774,13.849089616666667,15.85059,22.388722032258066,25.968249566666668,28.22790722580645,28.637051451612905,23.927259366666664,11.000124126666666,17.312747193548386,20.638194833333333,22.868533322580646,23.159413,18.273093766666666,36.41762065887451,39.620527267456055,14.098833560943604,5.771636724472046,0.0,7.197022199630737,0,0,0,0,0,0,0,0,6,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8,22,25,31,18,0,0,0,0,0,0
2014,37218.5,38100.2,382099.0,10.27,6.847699996666666,10.305828470967743,14.158678183333333,19.057778612903228,19.77253764516129,14.825823916666668,16.961006766666667,19.934403935483868,24.004806533333333,29.64998993548387,30.248548870967742,23.3516164,11.569768219999998,15.119989112903225,19.079608133333334,24.291026451612904,24.66177077419355,18.506984466666665,17.87812042236328,50.24714279174805,30.079721450805664,6.855250597000122,0.0,20.535308837890625,0,0,0,0,0,0,0,0,3,14,19,0,0,0,0,0,0,0,0,1,0,0,0,0,13,13,20,21,31,23,0,0,0,0,0,0
2015,54886.1,54886.1,558190.0,10.17,3.536403398,10.849851529032259,13.336792016666667,18.004002741935484,19.382476741935484,17.2468282,13.211634226666666,20.85132035483871,22.144781466666664,28.620759870967742,29.19651451612903,27.775227933333333,8.010638436666666,15.788700161290322,17.694448833333336,23.188473677419353,23.95486064516129,21.93698423333333,18.409356594085693,44.414974212646484,48.229387283325195,6.01374077796936,0.0,9.179608583450317,0,0,0,0,0,0,0,0,0,9,16,10,5,0,0,0,0,0,0,1,1,0,0,0,18,18,23,24,31,28,0,0,1,0,0,0
2016,63498.1,63526.9,638300.0,10.05,8.829724093333335,10.284475064516128,16.17198695,19.380554193548388,19.828796258064514,14.335993416666666,19.577455683333334,19.55155806451613,26.47305503333333,29.89603648387097,30.188085774193546,23.96366983333333,13.909407516666667,14.83240735483871,21.32750855,24.556554967741935,24.618451548387096,18.595276950000002,20.393919229507446,51.26828098297119,18.79647445678711,6.190177917480469,0.0,18.058958053588867,0,0,0,0,0,0,0,0,8,13,18,0,0,0,0,0,0,0,0,1,0,0,0,0,8,13,22,25,31,19,0,0,0,0,0,0
2017,63797.2,63797.2,621884.0,9.75,5.413160203333334,10.255268561290324,14.875679516666667,19.37336970967742,18.98122187096774,16.719686833333334,15.206796333333333,19.468797322580645,24.935013766666668,30.59007335483871,28.737439516129033,27.973159766666665,10.06294756,14.810332354838708,19.997457999999998,24.898170838709678,23.428521967741936,21.730753633333332,34.84231472015381,56.22084188461304,30.56092643737793,0.0,6.4136962890625,7.299980640411377,0,0,0,1,0,0,0,0,4,19,9,14,0,0,0,0,0,0,0,0,0,0,0,0,7,7,25,31,21,28,0,0,0,0,1,0
2018,107462.6,107462.6,1104538.0,10.28,8.51790666,12.35675343548387,15.291311733333334,18.96970106451613,18.950014193548387,15.668534483333334,19.227727133333335,21.892636258064517,25.0847952,29.235881161290322,29.346216000000002,25.6160329,13.605069956666666,17.12250935483871,20.225427200000002,23.996476774193546,23.838825870967742,20.0812358,15.120322704315186,66.09183204174042,49.70255517959595,7.089885711669922,1.228896141052246,12.31873607635498,0,0,0,0,0,0,0,0,0,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,13,7,12,28,15,28,0,1,1,0,0,0
2019,124535.3,124535.3,1345064.0,10.8,4.419747923333333,11.617627612903226,15.804323216666667,16.990722532258065,18.348838548387096,15.033331233333334,13.437158143333333,22.287474677419354,25.2180969,27.395933129032258,28.140189903225806,25.206611066666667,8.676848286666665,16.92825114516129,20.457086166666667,22.147754258064516,22.88577651612903,19.551264433333333,37.24910315871239,32.832844257354736,46.56201958656311,9.92908763885498,0.0,9.494882106781006,0,0,0,0,0,0,0,1,1,5,5,0,2,0,0,0,0,0,0,0,1,0,0,0,5,15,11,25,31,24,0,0,1,1,0,0
2020,103399.8,103399.8,1070626.0,10.35,5.8191152299999995,10.685538019354839,13.982187866666667,19.25139412903226,18.714006032258066,17.7951833,15.033620066666666,21.24482087096774,24.51660456666667,30.38771206451613,29.444893225806453,28.188665633333336,10.142641236666666,15.927352483870967,19.425463999999998,24.703892741935487,23.802834870967743,22.3798757,25.41547703742981,43.13020062446594,21.812766925072992,2.9445481300354004,0.0,9.125724792480469,0,0,0,0,0,1,0,3,0,20,11,6,0,0,0,0,0,0,0,0,0,0,0,0,9,17,15,15,31,23,0,0,0,0,0,0
2021,124182.1,124182.1,1261475.0,10.16,6.370041935333333,12.74080040967742,13.74576725,18.908717903225806,18.567181,13.985988383333334,16.30476578,23.881034516129034,23.2822581,29.310344096774195,29.296515645161293,23.20433543333333,10.968782517666666,18.203886951612905,18.56576738333333,23.970136096774194,23.673870419354838,17.9835328,27.06882154941559,21.550766944885254,21.992220401763916,12.852246522903442,0.0,12.302763938903809,0,0,0,0,0,0,0,0,0,12,13,0,3,0,0,0,0,0,0,0,0,0,0,0,9,18,14,12,31,19,0,0,0,1,0,0
2022,186212.5,186212.5,2044202.0,10.98,7.292616786333332,9.992763393548387,14.86536455,17.037954951612907,19.59412412903226,15.15960085,18.109431949999998,19.7318195,24.1969594,28.02484522580645,29.925644387096774,26.017935233333333,12.3810182,14.85414570967742,19.483508233333335,22.33499535483871,24.359157419354837,19.923334800000003,21.882112741470337,30.9583044052124,24.82660906203091,6.308077812194824,0.0,11.323387190715948,0,0,0,0,0,0,0,0,0,5,13,5,1,0,0,0,0,0,0,1,0,0,0,0,11,27,10,17,31,20,0,0,0,0,0,0
2023,185505.4,185505.4,2043903.0,11.02,5.365319825,9.807625116129032,14.031731166666667,18.681805935483872,21.47232451612903,15.9049479,14.477561516666666,18.864259741935484,22.842773333333334,29.418957193548387,32.45151758064516,25.847344,9.51904406,14.264611096774194,18.421342,23.941235,26.614085516129034,20.2088012,38.227111756801605,61.776641607284546,52.376227378845215,6.736753463745117,0.0,9.615131378173828,0,0,0,0,6,0,0,0,0,12,28,0,1,0,0,0,0,0,0,0,1,0,0,0,13,6,18,15,31,18,0,1,1,0,0,0
2024,158993.9,158993.9,2011729.0,12.65,9.97168784,10.708624090322582,19.032337433333335,19.874335548387098,19.91663774193548,15.882097333333332,20.181203200000002,19.625753064516132,29.967765333333332,29.553795612903222,30.016554322580646,24.9751688,14.742060293333333,15.015245129032259,24.471842433333332,24.58873141935484,24.598789322580643,19.839455133333335,22.535857024492827,53.58603736758232,12.758313523721881,17.72868537902832,4.5066835060715675,21.043177604675293,0,0,0,0,0,0,0,0,19,11,17,0,0,0,0,0,0,0,0,1,0,0,0,0,10,8,15,15,21,12,0,0,0,1,1,0
