year,harvest_area_ha,plant_area_ha,production_mass_t,t2m_min_1,t2m_min_2,t2m_min_3,t2m_min_4,t2m_min_5,t2m_min_6,t2m_min_7,t2m_min_8,t2m_min_9,t2m_min_10,t2m_min_11,t2m_min_12,t2m_max_1,t2m_max_2,t2m_max_3,t2m_max_4,t2m_max_5,t2m_max_6,t2m_max_7,t2m_max_8,t2m_max_9,t2m_max_10,t2m_max_11,t2m_max_12,t2m_mean_1,t2m_mean_2,t2m_mean_3,t2m_mean_4,t2m_mean_5,t2m_mean_6,t2m_mean_7,t2m_mean_8,t2m_mean_9,t2m_mean_10,t2m_mean_11,t2m_mean_12,precip_mm_1,precip_mm_2,precip_mm_3,precip_mm_4,precip_mm_5,precip_mm_6,precip_mm_7,precip_mm_8,precip_mm_9,precip_mm_10,precip_mm_11,precip_mm_12,heatwave_35_1,heatwave_35_2,heatwave_35_3,heatwave_35_4,heatwave_35_5,heatwave_35_6,heatwave_35_7,heatwave_35_8,heatwave_35_9,heatwave_35_10,heatwave_35_11,heatwave_35_12,heatwave_30_1,heatwave_30_2,heatwave_30_3,heatwave_30_4,heatwave_30_5,heatwave_30_6,heatwave_30_7,heatwave_30_8,heatwave_30_9,heatwave_30_10,heatwave_30_11,heatwave_30_12,frost_1,frost_2,frost_3,frost_4,frost_5,frost_6,frost_7,frost_8,frost_9,frost_10,frost_11,frost_12,heavy_rain_1,heavy_rain_2,heavy_rain_3,heavy_rain_4,heavy_rain_5,heavy_rain_6,heavy_rain_7,heavy_rain_8,heavy_rain_9,heavy_rain_10,heavy_rain_11,heavy_rain_12,dry_spell_max_1,dry_spell_max_2,dry_spell_max_3,dry_spell_max_4,dry_spell_max_5,dry_spell_max_6,dry_spell_max_7,dry_spell_max_8,dry_spell_max_9,dry_spell_max_10,dry_spell_max_11,dry_spell_max_12,flood_risk_1,flood_risk_2,flood_risk_3,flood_risk_4,flood_risk_5,flood_risk_6,flood_risk_7,flood_risk_8,flood_risk_9,flood_risk_10,flood_risk_11,flood_risk_12,target_yield_t_ha
2004,317834.0,318038.0,774695.0,-3.2533500384612903,-3.1779406033103443,1.388913079935484,5.032075996666666,9.46519716451613,14.263512183333336,17.007166693548385,17.674633419354837,13.7714325,10.597318532258065,3.094217952,-0.941412166935484,2.860474619677419,4.428759351724137,11.144585407096772,14.659422816666668,19.57217606451613,24.340249633333332,28.12275158064516,27.975857548387097,24.7985149,20.45088138709677,10.915078796666668,6.560915042258065,-0.8243152432258065,0.0230197099999998,5.603728294516128,9.525518746666668,14.41743129032258,19.390902666666666,22.40762829032258,22.48126716129032,18.568587233333336,14.561266483870968,6.1220753383333335,1.671260710967742,47.8712215423584,24.455827116966248,13.753382205963137,35.12705326080322,21.86599111557007,24.981359720230103,6.616104364395142,0.0,5.4690101146698,14.715425491333008,46.4530086517334,15.635040521621704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,25,21,14,2,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,5,7,17,10,25,17,15,31,20,27,14,17,0,0,0,0,0,0,0,0,0,0,0,0,2.44
2005,324716.0,325034.0,731333.0,-1.036627010967742,-2.087141864107143,1.818508007096774,5.74291484,10.211961341935485,13.84088645,18.672001032258063,18.79888122580645,13.713339183333334,7.067953793548387,1.9133107436666668,-0.073813143548387,6.028365647290323,5.130957455714286,10.717087258064517,15.43727004,20.27703258064516,24.1903035,29.313308354838707,29.33354135483871,23.278518733333332,15.762126258064518,9.33430175,8.020749983870967,1.4962876907419356,0.6364527883928571,5.598297116354839,10.193161022100002,15.205514141935485,19.064815316666667,23.897428451612903,23.724125967741937,17.970790599999997,10.578389851612902,4.654708828333333,2.772860619354839,34.690762877464294,20.179982781410217,20.999956727027893,33.64612674713135,28.66092824935913,11.985762357711792,8.911998271942139,0.0,16.91338348388672,20.938861846923828,53.445666790008545,26.06952714920044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,21,17,9,5,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,1,1,0,13,14,20,7,11,27,15,31,12,20,14,10,0,0,0,0,0,0,0,0,0,0,1,0,2.25
2006,330938.2,333366.2,948673.0,-3.941756698064516,-1.7156502963357143,2.0209409732258066,6.661976113333334,9.948830932258064,15.616142916666666,17.378893467741936,20.178114354838712,14.10575355,10.088235206451612,1.7665924321000002,-2.0797680488999997,2.9145252096774197,5.782766046428571,10.64940221935484,16.080576566666664,20.184711112903223,26.014031,27.292996322580645,31.341203387096776,23.809361866666663,17.713948935483874,9.763325011666666,5.7146616280645155,-1.4476879483870968,1.1729681771428573,5.665058696774194,10.949400796666668,15.055351935483872,20.767438733333332,22.262541838709677,25.42342251612903,18.4055461,13.174022032258064,4.741418443333333,0.5565707246774194,25.34229516983032,19.37152624130249,23.59954023361206,39.91678071022034,24.060645818710327,13.54349970817566,0.0,4.49724817276001,33.497822761535645,84.20255517959595,24.76735520362854,5.860186815261841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,26,0,0,0,0,26,16,6,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,2,0,0,10,8,10,7,12,17,31,17,22,10,16,19,0,0,0,0,0,0,0,1,1,1,0,0,2.87
2007,274368.8,299969.6,525787.0,-2.9521533656451613,-2.4180624707142857,1.5427029381290325,3.4029093536666664,11.942314967741936,15.933035333333333,18.858097193548385,19.462840516129035,14.360270166666668,9.716225861290322,3.823109929133333,-0.8597234858064516,5.567022552258065,5.39851052,10.538277858064516,12.915574143333334,22.504524451612905,26.55440563333333,30.3499224516129,29.80400722580645,25.472687899999997,19.450036951612905,11.35853986,5.4260765580645165,0.1195137156451613,0.5716160421428571,5.3385866564516125,7.896247393333334,17.09582119354839,21.225867666666662,24.51904009677419,24.30806016129032,19.237044299999997,13.716598967741936,6.6760315,1.283806602516129,25.87822622060776,20.58146721124649,18.38149267435074,23.273616790771484,31.915842175483704,16.263768196105957,0.0,5.017400741577148,6.464616537094116,32.41722297668457,78.14383029937744,54.54888439178467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,17,3,0,0,0,26,21,7,2,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,1,0,13,13,8,10,9,20,31,26,13,9,10,15,0,0,0,0,0,0,0,1,0,0,1,0,1.92
2008,244395.1,260247.9,469830.0,-4.954181312903225,-4.860210565517241,3.7224878874193545,7.495973698666666,9.500975525806451,15.403147433333334,18.150570709677417,19.316158096774192,15.253381333333332,8.565889445161291,5.408840975,-0.8677496229032258,2.7149215416129033,3.919073701724138,13.426629922580648,18.087565066666667,19.643671758064517,26.28832913333333,29.24145406451613,30.08386529032258,24.3159119,17.46299991935484,13.406491043333334,6.781926329677419,-2.2892515203225807,-1.498755081724138,7.696906322580645,12.480317179999998,14.61313456451613,20.8915467,23.559902967741937,24.40794222580645,19.183848066666663,12.176874983870968,8.26023255,1.7923967822580646,14.803089141845703,15.847356081008911,24.751347422599792,25.39374154806137,22.19415044784546,14.551408767700195,6.458832740783691,0.0,32.62271499633789,19.33468246459961,30.0656099319458,37.91286849975586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,15,2,0,0,0,31,29,1,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,1,0,0,0,27,10,9,5,13,29,18,31,20,17,17,10,0,0,0,0,0,0,0,0,1,0,0,0,1.92
2009,265279.4,265279.4,723762.0,-0.8637921587096775,-0.2776750914285714,0.189336948064516,5.27107342,9.2631669,15.045266733333332,17.742798838709675,16.992060516129033,13.417291233333334,10.999608225806451,3.960722858333334,1.73052782,6.119546203870969,6.26007515,8.424852016129032,14.343214933333334,18.81731787096774,25.8293274,27.61675035483871,27.742142193548386,22.5730774,20.852637483870968,11.720477383333334,8.592262503225806,1.6710785754838708,2.1716352157142857,3.7288680448387095,9.522133433333332,14.002150096774193,20.505243866666667,22.55951129032258,22.096000419354837,17.442382833333333,14.988270403225805,6.708931506666667,4.335019996774194,61.57962691783905,46.13143062591553,28.22983032464981,29.50341796875,44.678884506225586,15.138033151626589,8.764065742492676,0.0,19.68686819076538,24.8604793548584,51.039642333984375,70.69480502605438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,14,17,16,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,6,4,11,11,13,9,15,31,11,26,15,4,1,1,0,0,0,0,0,0,0,0,1,1,2.73
2010,253184.6,253984.6,554870.0,0.2672385132258065,1.2532152467857145,3.740034527096774,6.172183223333334,11.542306283870968,14.738084966666666,19.298500225806453,21.007188258064517,16.388895716666664,9.465947235483872,6.645422389999999,2.992831316129032,7.021713751612904,8.4218914,13.040751816129031,15.5868358,21.71367232258065,24.383287566666663,29.70694941935484,31.901389967741935,26.610003733333333,17.596783096774193,16.846857633333332,10.509175976451614,2.7665119938709677,3.923805225,7.649526259999999,10.570652313333332,16.642434483870968,19.502953133333335,24.42688370967742,26.170329451612904,20.8890482,12.748266432258063,10.20055242,5.618462351612902,44.117709159851074,43.29789870977402,15.107730031013489,34.95290791988373,28.290534019470215,39.709585189819336,5.989471435546875,0.0,20.55244541168213,67.73718047142029,15.927056550979614,73.85117954015732,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,11,26,0,0,0,0,11,7,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,17,8,11,13,27,31,20,5,22,7,0,1,0,0,0,0,0,0,0,1,0,1,2.19
2011,218093.8,224693.9,777542.0,-1.0513502458064516,-1.0658372946428571,0.7948864380322581,4.821588126666667,8.668388180645161,13.773887066666669,18.58728425806452,17.975514999999998,14.708379166666669,7.528947416129032,0.1404042573333333,-0.9438279594193548,5.566172941935484,6.609728103571428,9.620793563870969,13.2078491,17.486313322580642,23.302710966666663,29.33050641935484,28.286754032258063,24.8113475,16.288154822580644,7.973009200000001,6.906376995483871,1.2475231567741936,1.7247325309285717,4.55092794967742,8.697490423333333,13.020355193548388,18.50987555,23.931528322580647,22.759962483870968,19.210536766666667,11.072939,2.929392499,1.803107485483871,32.016135692596436,39.66983938217163,24.953081846237183,54.49909281730652,54.17638969421387,45.699117183685296,5.827368497848511,0.0,8.21556282043457,43.5936918258667,11.044495582580566,36.67037892341614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,25,17,11,2,0,0,0,0,0,0,15,22,0,0,0,0,0,1,0,0,0,1,0,0,18,18,10,13,6,18,13,31,21,21,15,10,0,1,0,1,0,1,0,0,0,0,0,0,3.5700000000000003
2012,243885.6,243923.0,613489.0,-3.7368016162903226,-4.930101050689655,-0.9715871641935484,6.536419659999999,10.063185125806452,16.1869446,19.502365612903223,17.761468629032258,15.3841002,10.90608164516129,5.777317328666666,1.2672896907741935,2.095358562580645,2.406474186206897,7.061155214451613,17.163051433333333,19.18585506451613,27.257674166666668,30.411500967741937,28.07528587096774,26.456207300000003,19.815662935483868,13.1625213,7.579157706451613,-1.4940648169354838,-2.0144979562068963,2.4698092612903224,11.603939876666669,14.571445532258064,21.743755066666665,24.832197548387096,22.5452055483871,20.2854421,14.512648951612904,8.45118816,3.613100144935484,60.03770864009857,32.85129249095917,19.530608654022217,25.073579788208008,52.77666616439819,17.761716842651367,5.408346176147461,7.581264019012451,6.155352592468262,43.166147232055664,31.563198804855347,49.11249852180481,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,18,4,0,0,0,0,26,27,16,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5,7,11,16,15,27,21,17,20,9,20,8,1,0,0,0,0,0,0,1,0,0,0,0,2.52
2013,230600.9,230600.9,761080.0,-1.0778168747096777,0.8827939850000001,2.322709580322581,6.666286183333333,12.350177322580643,15.2471679,17.808207806451612,18.221323387096778,13.849089616666667,6.935057651612904,5.417123406666667,-3.197886777580645,5.389217284838709,8.912056014285714,11.624988232258064,15.85059,22.388722032258062,25.968249566666668,28.22790722580645,28.637051451612905,23.927259366666664,16.786716596774195,14.21370135,4.609134799612904,1.2650806112903226,3.817672733928571,6.402520958064516,11.000124126666666,17.312747193548386,20.638194833333333,22.86853332258065,23.159413,18.273093766666666,10.877582148387097,8.588581373333334,-0.4185111658064515,21.05966341495514,25.453771114349365,17.52365118265152,36.41762065887451,39.620527267456055,14.098833560943604,5.771636724472046,0.0,7.197022199630737,31.329261779785156,20.450830221176147,15.605543732643127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,1,0,0,0,19,9,9,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,1,0,0,10,13,6,11,8,22,25,31,18,16,14,22,0,0,0,0,0,0,0,0,0,0,0,0,3.3000000000000003
