Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7001","January","LCU","369","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7002","February","LCU","375","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7003","March","LCU","369","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7004","April","LCU","365","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7005","May","LCU","367","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7006","June","LCU","381","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7007","July","LCU","387","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7008","August","LCU","402","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7009","September","LCU","424","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7010","October","LCU","431","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7011","November","LCU","436","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7012","December","LCU","446","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7001","January","LCU","462","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7002","February","LCU","469","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7003","March","LCU","474","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7004","April","LCU","486","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7005","May","LCU","482","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7006","June","LCU","471","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7007","July","LCU","462","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7008","August","LCU","467","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7009","September","LCU","480","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7010","October","LCU","493","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7011","November","LCU","498","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7012","December","LCU","505","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7001","January","LCU","505","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7002","February","LCU","514","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7003","March","LCU","524","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7004","April","LCU","532","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7005","May","LCU","546","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7006","June","LCU","536","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7007","July","LCU","545","A","Official figure"
"PP","Producer Prices","792","Türkiye","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7008","August","LCU","562","A","Official figure"
