"DateTime","Fiyat (open)","Fiyat (high)","Fiyat (low)","Fiyat (close)","Ağ. Ort. Fiyat","Hacim"
"2019-07-29 00:00:00",1.127,1.14,1.1,1.1,1.1259,279595.82
"2019-07-30 00:00:00",1.125,1.15,1.125,1.15,1.1304,115369
"2019-07-31 00:00:00",1.125,1.14,1.1,1.1,1.129,77833.1
"2019-08-01 00:00:00",1.13,1.15,1.1025,1.1025,1.1348,169398.8
"2019-08-02 00:00:00",1.125,1.13,1.1,1.13,1.1233,188451.9
"2019-08-05 00:00:00",1.125,1.125,1.125,1.125,1.125,22365
"2019-08-06 00:00:00",1.16,1.16,1.115,1.115,1.1432,146141.6
"2019-08-07 00:00:00",1.12,1.125,1.11,1.11,1.1228,275106.5
"2019-08-08 00:00:00",1.11,1.115,1.11,1.115,1.1116,28633.6
"2019-08-09 00:00:00",1.12,1.12,1.11,1.117,1.1172,27864.04
"2019-08-15 00:00:00",1.129,1.129,1.111,1.111,1.1161,78218.88
"2019-08-16 00:00:00",1.129,1.129,1.129,1.129,1.129,8999.26
"2019-08-19 00:00:00",1.1,1.18,1.1,1.12,1.1302,86447.7
"2019-08-20 00:00:00",1.15,1.195,1.12,1.16,1.1536,274302.35
"2019-08-21 00:00:00",1.165,1.165,1.108,1.14,1.1459,323958.88
"2019-08-22 00:00:00",1.15,1.18,1.142,1.18,1.1667,179162.5
"2019-08-23 00:00:00",1.18,1.18,1.13,1.13,1.1446,816852.9
"2019-08-26 00:00:00",1.16,1.2,1.16,1.165,1.1772,346612.45
"2019-08-27 00:00:00",1.175,1.2,1.118,1.17,1.1673,334068.91
"2019-08-28 00:00:00",1.2,1.2425,1.17,1.18,1.1961,340923.3
"2019-08-29 00:00:00",1.2,1.21,1.19,1.2,1.1941,355058.36
"2019-09-02 00:00:00",1.21,1.23,1.2,1.2,1.2153,707615.12
"2019-09-03 00:00:00",1.21,1.225,1.2,1.225,1.2143,442171.3
"2019-09-04 00:00:00",1.2,1.23,1.2,1.215,1.2116,342461.2
"2019-09-05 00:00:00",1.2,1.225,1.15,1.225,1.2012,457121.8
"2019-09-06 00:00:00",1.2,1.214,1.175,1.214,1.2016,162775.44
"2019-09-09 00:00:00",1.12,1.21,1.12,1.2,1.1806,121668.6
"2019-09-10 00:00:00",1.18,1.21,1.18,1.205,1.2049,116562.7
"2019-09-11 00:00:00",1.2,1.22,1.2,1.2,1.2015,243769.82
"2019-09-12 00:00:00",1.2,1.2,1.2,1.2,1.2,30000
"2019-09-13 00:00:00",1.19,1.19,1.19,1.19,1.19,60334.19
"2019-09-16 00:00:00",1.17,1.208,1.17,1.18,1.1915,179266.2
"2019-09-17 00:00:00",1.18,1.2,1.17,1.2,1.183,58084.8
"2019-09-18 00:00:00",1.2,1.2,1.2,1.2,1.2,66480
"2019-09-19 00:00:00",1.2,1.2,1.165,1.165,1.179,55555.7
"2019-09-20 00:00:00",1.18,1.2,1.17,1.17,1.179,167446
"2019-09-23 00:00:00",1,1,1,1,1,60000
"2019-09-24 00:00:00",1.2,1.22,1.17,1.17,1.1974,92220
"2019-09-25 00:00:00",1.19,1.19,1.16,1.19,1.1887,218213.2
"2019-09-26 00:00:00",1.19,1.19,1.19,1.19,1.19,22657.6
"2019-09-27 00:00:00",1.19,1.19,1.16,1.19,1.1824,161882.5
"2019-09-30 00:00:00",1.175,1.175,1.175,1.175,1.175,56564.5
"2019-10-01 00:00:00",1.218,1.218,1.17,1.17,1.1866,116099.22
"2019-10-02 00:00:00",1.2,1.21,1.15,1.15,1.1862,312132.36
"2019-10-03 00:00:00",1.18,1.19,1.175,1.19,1.1826,196966
"2019-10-04 00:00:00",1.19,1.19,1.19,1.19,1.19,29750
"2019-10-07 00:00:00",1.2,1.2,1.2,1.2,1.2,182784
"2019-10-08 00:00:00",1.2,1.2,1.18,1.2,1.1959,124614.4
"2019-10-09 00:00:00",1.2,1.215,1.175,1.2,1.1958,148194.65
"2019-10-10 00:00:00",1.17,1.2,1.17,1.2,1.2,38507.7
"2019-10-11 00:00:00",1.2,1.2,1.16,1.2,1.1875,251976.4
"2019-10-14 00:00:00",1.19,1.22,1.19,1.21,1.1954,170386.4
"2019-10-15 00:00:00",1.2,1.2,1.185,1.19,1.1932,75170
"2019-10-16 00:00:00",1.21,1.21,1.18,1.205,1.194,193949.4
"2019-10-17 00:00:00",1.198,1.21,1.19,1.205,1.2003,172921.6
"2019-10-18 00:00:00",1.2,1.25,1.15,1.25,1.2261,227290.5
"2019-10-21 00:00:00",1.2,1.2,1.2,1.2,1.2,51984
"2019-10-22 00:00:00",1.19,1.2,1.19,1.2,1.1969,85673.2
"2019-10-23 00:00:00",1.2,1.23,1.2,1.21,1.2176,127290.9
"2019-10-24 00:00:00",1.21,1.227,1.18,1.227,1.2068,151433.8
"2019-10-25 00:00:00",1.21,1.21,1.21,1.21,1.21,93194.2
"2019-10-28 00:00:00",1.19,1.22,1.19,1.22,1.2023,50859.2
"2019-10-30 00:00:00",1.21,1.21,1.2,1.2,1.2087,56253
"2019-10-31 00:00:00",1.2,1.23,1.195,1.22,1.2004,161047.79
"2019-11-01 00:00:00",1.21,1.245,1.19,1.21,1.2189,266842.65
"2019-11-04 00:00:00",1.225,1.245,1.185,1.23,1.2042,510155.4
"2019-11-05 00:00:00",1.23,1.24,1.18,1.22,1.2135,190203.7
"2019-11-06 00:00:00",1.22,1.245,1.21,1.24,1.2304,202526.6
"2019-11-07 00:00:00",1.225,1.275,1.225,1.275,1.2387,64637.9
"2019-11-08 00:00:00",1.24,1.24,1.2,1.2,1.2034,372916
"2019-11-11 00:00:00",1.245,1.25,1.2,1.22,1.2307,264584.15
"2019-11-12 00:00:00",1.245,1.28,1.22,1.225,1.2426,365287.3
"2019-11-13 00:00:00",1.255,1.26,1.225,1.25,1.2536,227548.05
"2019-11-14 00:00:00",1.28,1.28,1.22,1.25,1.2483,112143.6
"2019-11-15 00:00:00",1.26,1.275,1.235,1.275,1.2593,246555.43
"2019-11-18 00:00:00",1.28,1.295,1.25,1.26,1.2756,441206.6
"2019-11-19 00:00:00",1.285,1.285,1.255,1.27,1.2678,278537.63
"2019-11-20 00:00:00",1.288,1.298,1.25,1.292,1.2878,122792.44
"2019-11-21 00:00:00",1.31,1.31,1.28,1.28,1.294,246597.89
"2019-11-22 00:00:00",1.305,1.31,1.29,1.3,1.3042,289080.44
"2019-11-25 00:00:00",1.24,1.32,1.24,1.3,1.2875,299449
"2019-11-26 00:00:00",1.32,1.33,1.3,1.3,1.3109,177600.8
