"DateTime","Fiyat (open)","Fiyat (high)","Fiyat (low)","Fiyat (close)","Ağ. Ort. Fiyat","Hacim"
"2019-07-30 00:00:00",1.2,1.2,1.165,1.165,1.1815,665908.2
"2019-07-31 00:00:00",1.2,1.2,1.2,1.2,1.2,827880
"2019-08-02 00:00:00",1.25,1.25,1.25,1.25,1.25,75000
"2019-08-05 00:00:00",1.22,1.26,1.22,1.26,1.2338,806323.6
"2019-08-07 00:00:00",1.21,1.21,1.21,1.21,1.21,242000
"2019-08-09 00:00:00",1.21,1.21,1.21,1.21,1.21,181790.4
"2019-08-16 00:00:00",1.155,1.19,1.155,1.19,1.1623,303782.5
"2019-08-19 00:00:00",1.25,1.25,1.25,1.25,1.25,312500
"2019-08-21 00:00:00",1.2,1.2,1.14,1.14,1.1728,167069.68
"2019-08-22 00:00:00",1.165,1.25,1.165,1.25,1.2275,584528.83
"2019-08-23 00:00:00",1.28,1.28,1.28,1.28,1.28,1702656
"2019-08-26 00:00:00",1.2,1.2,1.2,1.2,1.2,240000
"2019-08-27 00:00:00",1.175,1.175,1.175,1.175,1.175,35156
"2019-08-28 00:00:00",1.179,1.19,1.179,1.18,1.1803,406774.52
"2019-08-29 00:00:00",1.22,1.22,1.22,1.22,1.22,36600
"2019-09-02 00:00:00",1.2,1.26,1.19,1.26,1.2595,6850716.4
"2019-09-03 00:00:00",1.17,1.18,1.17,1.18,1.1727,43390
"2019-09-04 00:00:00",1.18,1.19,1.17,1.19,1.1798,166898.9
"2019-09-05 00:00:00",1.191,1.25,1.15,1.25,1.2187,609087.75
"2019-09-06 00:00:00",1.18,1.185,1.16,1.185,1.1711,93056.19
"2019-09-09 00:00:00",1.2,1.2,1.2,1.2,1.2,186770.4
"2019-09-10 00:00:00",1.16,1.25,1.16,1.23,1.2004,904664.18
"2019-09-11 00:00:00",1.16,1.195,1.16,1.195,1.1827,91070
"2019-09-13 00:00:00",1.16,1.225,1.16,1.225,1.16,262776.75
"2019-09-16 00:00:00",1.185,1.185,1.185,1.185,1.185,38394
"2019-09-17 00:00:00",1.15,1.15,1.15,1.15,1.15,31050
"2019-09-19 00:00:00",1.16,1.16,1.16,1.16,1.16,34800
"2019-09-20 00:00:00",1.153,1.153,1.1025,1.1025,1.1137,130702.4
"2019-09-23 00:00:00",1.151,1.16,1.151,1.16,1.1548,54277
"2019-09-24 00:00:00",1.16,1.16,1.14,1.14,1.1529,91497.6
"2019-09-25 00:00:00",1.15,1.15,1.15,1.15,1.15,23000
"2019-09-27 00:00:00",1.135,1.135,1.135,1.135,1.135,22700
"2019-10-01 00:00:00",1.1,1.1,1.1,1.1,1.1,57398
"2019-10-02 00:00:00",1.2,1.2,1.2,1.2,1.2,308304
"2019-10-03 00:00:00",1.125,1.125,1.125,1.125,1.125,22500
"2019-10-08 00:00:00",1.12,1.12,1.12,1.12,1.12,150035.2
"2019-10-09 00:00:00",1.2,1.2,1.2,1.2,1.2,508368
"2019-10-10 00:00:00",1.125,1.125,1.125,1.125,1.125,16966.13
"2019-10-15 00:00:00",1.1,1.1,1.1,1.1,1.1,11000
"2019-10-17 00:00:00",1.125,1.125,1.06,1.06,1.0866,26514
"2019-10-21 00:00:00",1.07,1.12,1.07,1.11,1.1033,126277.9
"2019-10-23 00:00:00",1.11,1.11,1.08,1.08,1.0885,96244.8
"2019-10-24 00:00:00",1.15,1.15,1.15,1.15,1.15,92184
