"DateTime","Fiyat (open)","Fiyat (high)","Fiyat (low)","Fiyat (close)","Ağ. Ort. Fiyat","Hacim"
"2019-07-26 00:00:00",1.265,1.265,0.1315,0.1315,1.265,95558.23
"2019-07-29 00:00:00",1.25,1.25,1.25,1.25,1.25,12500
"2019-07-30 00:00:00",1.31,1.31,1,1.215,1.2908,25088.83
"2019-07-31 00:00:00",1.25,1.35,1.1,1.35,1.2834,163882.6
"2019-08-01 00:00:00",1.2,1.325,1.198,1.325,1.2223,111135.88
"2019-08-02 00:00:00",1.25,1.25,1.2,1.2,1.2195,62560
"2019-08-06 00:00:00",1.21,1.32,1.21,1.32,1.2508,38423.8
"2019-08-07 00:00:00",1.275,1.325,1.25,1.325,1.2967,79593.5
"2019-08-08 00:00:00",1.18,1.25,1.18,1.25,1.1823,122200
"2019-08-09 00:00:00",1.25,1.3,1.19,1.3,1.2451,267852.4
"2019-08-15 00:00:00",1.24,1.24,1.21,1.21,1.2345,15086.2
"2019-08-16 00:00:00",1.25,1.3,1.25,1.3,1.2583,40417
"2019-08-19 00:00:00",1.2,1.2,1.19,1.19,1.1966,94983.2
"2019-08-20 00:00:00",1.2,1.39,1.19,1.39,1.2555,87455.4
"2019-08-21 00:00:00",1.69,1.69,1.16,1.325,1.3827,286442.5
"2019-08-22 00:00:00",1.25,1.25,1.2,1.2,1.2225,40686
"2019-08-23 00:00:00",1.2,1.2,1.18,1.18,1.1872,265657.6
"2019-08-26 00:00:00",1.265,1.265,1.22,1.22,1.2361,137796.6
"2019-08-27 00:00:00",1.275,1.33,1.275,1.33,1.316,109521
"2019-08-28 00:00:00",1.2,1.225,1.2,1.22,1.2183,57359.4
"2019-08-29 00:00:00",1.38,1.38,1.255,1.3,1.3388,127240.05
"2019-09-02 00:00:00",1.6,1.6,1.21,1.21,1.5536,1113014.24
"2019-09-03 00:00:00",1.6,1.6,1.17,1.17,1.5351,400538.4
"2019-09-04 00:00:00",1.6,1.6,1.2,1.39,1.5041,612296
"2019-09-05 00:00:00",1.42,1.42,1.15,1.328,1.3867,94742
"2019-09-06 00:00:00",1.3,1.338,1.245,1.338,1.2926,85517.92
"2019-09-09 00:00:00",1.25,1.3,1.25,1.3,1.2696,88056
"2019-09-10 00:00:00",1.25,1.25,1.25,1.25,1.25,25625
"2019-09-11 00:00:00",1.3,1.43,1.22,1.22,1.3689,55221.8
"2019-09-12 00:00:00",1.35,1.35,1.35,1.35,1.35,46575
"2019-09-13 00:00:00",1.45,1.45,1.275,1.325,1.3436,133752.25
"2019-09-17 00:00:00",1.3,1.335,1.25,1.275,1.2903,257108.7
"2019-09-18 00:00:00",1.345,1.345,1.295,1.3,1.3054,43862
"2019-09-19 00:00:00",1.33,1.33,1.25,1.325,1.3037,34574.4
"2019-09-20 00:00:00",1.325,1.62,1.21,1.21,1.4715,175576.09
"2019-09-23 00:00:00",1.255,1.255,1.23,1.23,1.2415,41540.04
"2019-09-24 00:00:00",1.25,1.259,1.25,1.25,1.2537,57544.38
"2019-09-25 00:00:00",1.45,1.45,1.3,1.3,1.3824,76835
"2019-09-26 00:00:00",1.25,1.25,1.25,1.25,1.25,101175
"2019-09-27 00:00:00",1.325,1.64,1.275,1.35,1.3959,211904.4
"2019-09-30 00:00:00",1.4,1.42,1.3,1.4,1.3535,183299.8
"2019-10-01 00:00:00",1.385,1.4,1.29,1.35,1.3495,414425.1
"2019-10-02 00:00:00",1.315,1.435,1.285,1.375,1.3704,444365.5
"2019-10-03 00:00:00",1.045,1.35,1.045,1.35,1.266,437213.39
