system:index,date,month,precipitation,year,.geo
0,2004-01,1.0,47.8712215423584,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2004-02,2.0,24.455827116966248,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2004-03,3.0,13.753382205963135,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2004-04,4.0,35.12705326080322,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2004-05,5.0,21.86599111557007,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2004-06,6.0,24.981359720230103,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2004-07,7.0,6.616104364395142,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2004-08,8.0,0.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2004-09,9.0,5.4690101146698,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2004-10,10.0,14.715425491333008,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2004-11,11.0,46.4530086517334,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2004-12,12.0,15.635040521621704,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2005-01,1.0,34.690762877464294,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2005-02,2.0,20.179982781410217,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2005-03,3.0,20.999956727027893,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2005-04,4.0,33.64612674713135,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2005-05,5.0,28.66092824935913,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2005-06,6.0,11.985762357711792,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2005-07,7.0,8.911998271942139,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2005-08,8.0,0.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2005-09,9.0,16.91338348388672,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2005-10,10.0,20.938861846923828,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2005-11,11.0,53.445666790008545,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2005-12,12.0,26.06952714920044,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2006-01,1.0,25.342295169830322,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2006-02,2.0,19.37152624130249,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2006-03,3.0,23.59954023361206,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2006-04,4.0,39.91678071022034,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2006-05,5.0,24.060645818710327,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2006-06,6.0,13.54349970817566,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2006-07,7.0,0.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2006-08,8.0,4.49724817276001,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2006-09,9.0,33.497822761535645,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2006-10,10.0,84.20255517959595,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2006-11,11.0,24.76735520362854,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2006-12,12.0,5.860186815261841,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2007-01,1.0,25.878226220607758,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2007-02,2.0,20.58146721124649,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2007-03,3.0,18.38149267435074,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2007-04,4.0,23.273616790771484,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2007-05,5.0,31.915842175483704,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2007-06,6.0,16.263768196105957,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2007-07,7.0,0.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2007-08,8.0,5.017400741577148,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2007-09,9.0,6.464616537094116,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2007-10,10.0,32.41722297668457,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2007-11,11.0,78.14383029937744,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2007-12,12.0,54.54888439178467,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2008-01,1.0,14.803089141845703,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2008-02,2.0,15.847356081008911,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2008-03,3.0,24.751347422599792,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2008-04,4.0,25.39374154806137,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2008-05,5.0,22.19415044784546,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2008-06,6.0,14.551408767700195,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2008-07,7.0,6.458832740783691,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2008-08,8.0,0.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2008-09,9.0,32.62271499633789,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2008-10,10.0,19.33468246459961,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2008-11,11.0,30.0656099319458,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2008-12,12.0,37.91286849975586,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2009-01,1.0,61.57962691783905,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2009-02,2.0,46.13143062591553,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2009-03,3.0,28.22983032464981,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2009-04,4.0,29.50341796875,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2009-05,5.0,44.678884506225586,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2009-06,6.0,15.138033151626587,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2009-07,7.0,8.764065742492676,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2009-08,8.0,0.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2009-09,9.0,19.68686819076538,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2009-10,10.0,24.8604793548584,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2009-11,11.0,51.039642333984375,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2009-12,12.0,70.69480502605438,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2010-01,1.0,44.117709159851074,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2010-02,2.0,43.29789870977402,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2010-03,3.0,15.107730031013489,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2010-04,4.0,34.95290791988373,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2010-05,5.0,28.290534019470215,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2010-06,6.0,39.709585189819336,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2010-07,7.0,5.989471435546875,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2010-08,8.0,0.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2010-09,9.0,20.55244541168213,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2010-10,10.0,67.73718047142029,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2010-11,11.0,15.927056550979614,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2010-12,12.0,73.85117954015732,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2011-01,1.0,32.016135692596436,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2011-02,2.0,39.66983938217163,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2011-03,3.0,24.953081846237183,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2011-04,4.0,54.49909281730652,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2011-05,5.0,54.17638969421387,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2011-06,6.0,45.6991171836853,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2011-07,7.0,5.827368497848511,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2011-08,8.0,0.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2011-09,9.0,8.21556282043457,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2011-10,10.0,43.5936918258667,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2011-11,11.0,11.044495582580566,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2011-12,12.0,36.67037892341614,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2012-01,1.0,60.03770864009857,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2012-02,2.0,32.85129249095917,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2012-03,3.0,19.530608654022217,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2012-04,4.0,25.073579788208008,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2012-05,5.0,52.77666616439819,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
