date,t2m_c,precip_mm
2004-01-01,-0.6406555,5.0237956
2004-02-01,0.23449707,1.9365623
2004-03-01,5.6165466,0.85514283
2004-04-01,9.387756,1.888341
2004-05-01,14.241486,0.9358435
2004-06-01,19.220612,0.7514921
2004-07-01,22.25586,0.36721537
2004-08-01,22.319855,0.13212034
2004-09-01,18.47644,0.028602611
2004-10-01,14.571655,0.2850076
2004-11-01,6.2170715,2.5449283
2004-12-01,1.8875122,0.8930594
2005-01-01,1.7391663,2.2742515
2005-02-01,0.847229,1.8733389
2005-03-01,5.5912476,1.511884
2005-04-01,10.078186,1.5063847
2005-05-01,15.03894,1.1022899
2005-06-01,18.913544,0.65915495
2005-07-01,23.725983,0.29206574
2005-08-01,23.538452,0.14078556
2005-09-01,17.8154,0.38037014
2005-10-01,10.524567,0.87736297
2005-11-01,4.821869,2.889999
2005-12-01,2.969635,1.1508526
2006-01-01,-1.2737427,2.2893307
2006-02-01,1.4057007,2.0457916
2006-03-01,5.699707,2.2094223
2006-04-01,10.838776,1.9260261
2006-05-01,14.887146,0.88144606
2006-06-01,20.609528,0.521402
2006-07-01,22.111511,0.2623044
2006-08-01,25.244324,0.21564446
2006-09-01,18.269318,0.974157
2006-10-01,13.158997,2.9311817
2006-11-01,4.840088,1.5585519
2006-12-01,0.74002075,0.23932125
2007-01-01,0.38308716,1.8777343
2007-02-01,0.83691406,2.0985994
2007-03-01,5.365082,1.7317455
2007-04-01,7.748047,1.0451455
2007-05-01,16.938324,0.985862
2007-06-01,21.034576,0.846972
2007-07-01,24.34967,0.08274875
2007-08-01,24.127136,0.27620697
2007-09-01,19.07727,0.17089736
2007-10-01,13.727692,0.6677115
2007-11-01,6.793274,2.7296572
2007-12-01,1.4156799,3.2386389
2008-01-01,-2.0888977,1.15039
2008-02-01,-1.2255249,1.5077128
2008-03-01,7.7871094,1.3600771
2008-04-01,12.322876,0.7740808
2008-05-01,14.429565,0.99350876
2008-06-01,20.694458,0.27250302
2008-07-01,23.373688,0.10356812
2008-08-01,24.259918,0.12282841
2008-09-01,19.02884,1.1906338
2008-10-01,12.195496,0.8327302
2008-11-01,8.3967285,1.5196952
2008-12-01,1.9462891,1.6581242
2009-01-01,1.9336853,3.0874064
2009-02-01,2.3483276,3.7039142
2009-03-01,3.7822266,2.1510603
2009-04-01,9.387909,1.8984519
2009-05-01,13.854553,2.1791375
2009-06-01,20.29123,0.45632786
2009-07-01,22.3945,0.45115095
2009-08-01,21.913666,0.08557346
2009-09-01,17.301483,0.79567504
2009-10-01,15.018188,0.9900544
2009-11-01,6.836914,2.1165774
2009-12-01,4.5253906,3.0622132
2010-01-01,2.997589,2.954537
2010-02-01,4.110779,3.1628067
2010-03-01,7.686096,0.9047553
2010-04-01,10.435577,1.8260187
2010-05-01,16.462708,0.6975082
2010-06-01,19.325195,1.8081834
2010-07-01,24.306519,0.12633201
2010-08-01,25.957031,0.0707359
2010-09-01,20.760681,0.30499026
2010-10-01,12.708282,1.9004619
2010-11-01,10.487152,0.47327623
2010-12-01,5.826782,3.2265363
2011-01-01,1.4363098,2.1169002
2011-02-01,1.9724121,1.9646709
2011-03-01,4.6211243,1.9841774
2011-04-01,8.623779,2.655777
2011-05-01,12.875397,2.2453098
2011-06-01,18.357819,1.3545578
2011-07-01,23.766418,0.07475217
2011-08-01,22.566101,0.09480738
2011-09-01,19.033112,0.35716823
2011-10-01,11.039764,1.5102528
2011-11-01,3.0303345,0.7047385
2011-12-01,2.0552979,1.9606088
2012-01-01,-1.3836365,4.813256
2012-02-01,-1.8149719,2.823627
2012-03-01,2.5419312,1.5062536
2012-04-01,11.474976,1.1317922
2012-05-01,14.384949,2.00201
2012-06-01,21.567017,0.2996171
2012-07-01,24.676605,0.16230385
2012-08-01,22.382507,0.20136495
2012-09-01,20.166351,0.060825326
2012-10-01,14.4913025,1.368265
2012-11-01,8.5451355,2.0861363
2012-12-01,3.789032,3.6813953
2013-01-01,1.4393921,2.5440702
2013-02-01,4.0413513,2.0189764
2013-03-01,6.4309998,0.9958623
2013-04-01,10.897797,2.230581
2013-05-01,17.129852,1.17616
2013-06-01,20.427338,0.30654773
2013-07-01,22.704254,0.1088957
2013-08-01,22.963226,0.052148513
2013-09-01,18.135376,0.23043324
2013-10-01,10.873505,1.1906804
2013-11-01,8.742249,1.0484976
2013-12-01,-0.24093628,0.91066533
2014-01-01,3.2015991,2.7528644
2014-02-01,4.132202,0.7490695
2014-03-01,6.6680603,1.8349359
2014-04-01,11.458466,1.0591714
2014-05-01,14.958008,1.841574
2014-06-01,18.918823,1.7903997
2014-07-01,24.11084,0.16943318
2014-08-01,24.487213,0.22672549
2014-09-01,18.33841,1.5767003
2014-10-01,12.474701,1.2167238
2014-11-01,6.186981,1.9153566
2014-12-01,5.1280823,2.3433633
2015-01-01,0.4139099,2.5595748
2015-02-01,1.4500122,3.0619898
2015-03-01,5.6878967,3.0660088
2015-04-01,7.9132996,1.3480489
2015-05-01,15.588837,1.5553515
2015-06-01,17.565765,2.183949
2015-07-01,23.044952,0.21527907
2015-08-01,23.75357,0.2997412
2015-09-01,21.811005,0.42664495
2015-10-01,14.457703,1.439673
2015-11-01,8.438812,0.6092575
2015-12-01,1.2287903,0.21600562
2016-01-01,0.10409546,3.257803
2016-02-01,5.6553955,1.2581879
2016-03-01,7.018219,1.8750237
2016-04-01,13.757935,0.70138615
2016-05-01,14.692596,2.3667955
2016-06-01,21.160706,0.74630135
2016-07-01,24.383575,0.15459605
2016-08-01,24.473267,0.24181965
2016-09-01,18.434692,0.7598801
2016-10-01,14.491608,0.341261
2016-11-01,7.144409,0.9809923
2016-12-01,-1.3999329,4.0341973
2017-01-01,-3.2089233,3.1471453
2017-02-01,0.48342896,0.29743102
2017-03-01,5.7384644,2.825281
2017-04-01,9.965393,1.7548454
2017-05-01,14.6284485,1.9514927
2017-06-01,19.88205,1.0676073
2017-07-01,24.701355,0.04902552
2017-08-01,23.312256,0.86204565
2017-09-01,21.582977,0.133277
