|||Sütunlar|
Satırlar|||Konya-42|
||||
||||
Tahıllar Ve Diğer Bitkisel Ürünler|Ekilen Alan ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Dekar|2004|4541680.0|
||2005|4770270.0|
||2006|4469151.0|
||2007|5353912.0|
||2008|5126578.0|
||2009|4630171.0|
||2010|4744651.0|
||2011|5242633.0|
||2012|4542829.0|
||2013|5255781.0|
||2014|5226966.0|
||2015|4863382.0|
||2016|4979732.0|
||2017|4999298.0|
||2018|4562337.0|
||2019|4111761.0|
||2020|4234024.0|
||2021|4021324.0|
||2022|3951394.0|
||2023|4038312.0|
||2024|4505485.0|
|Ekilen Alan ve 01.11.20.00.00. (Mısır) - Dekar|2004|114900.0|
||2005|102920.0|
||2006|79180.0|
||2007|91583.0|
||2008|126077.0|
||2009|131378.0|
||2010|154817.0|
||2011|230974.0|
||2012|382539.0|
||2013|341310.0|
||2014|381002.0|
||2015|548861.0|
||2016|635269.0|
||2017|637972.0|
||2018|1074626.0|
||2019|1245353.0|
||2020|1033998.0|
||2021|1241821.0|
||2022|1862125.0|
||2023|1855054.0|
||2024|1589939.0|
|Ekilen Alan ve 01.11.31.00.02. (Arpa (Diğer)) - Dekar|2004|3180380.0|
||2005|3250340.0|
||2006|3333662.0|
||2007|2999696.0|
||2008|2602479.0|
||2009|2652794.0|
||2010|2539846.0|
||2011|2246939.0|
||2012|2439230.0|
||2013|2306009.0|
||2014|2403777.0|
||2015|2416454.0|
||2016|2766418.0|
||2017|2422416.0|
||2018|2744806.0|
||2019|3053198.0|
||2020|3154438.0|
||2021|3340170.0|
||2022|3360407.0|
||2023|3311631.0|
||2024|3431362.0|
|Hasat Edilen Alan ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Dekar|2004|4541480.0|
||2005|4768130.0|
||2006|4432537.0|
||2007|4874132.0|
||2008|4843112.0|
||2009|4630171.0|
||2010|4726145.0|
||2011|5239395.0|
||2012|4542829.0|
||2013|5214130.0|
||2014|5136968.0|
||2015|4859475.0|
||2016|4904732.0|
||2017|4998306.0|
||2018|4540975.0|
||2019|4111761.0|
||2020|4234024.0|
||2021|3973705.0|
||2022|3919293.0|
||2023|4033312.0|
||2024|4013531.0|
|Hasat Edilen Alan ve 01.11.20.00.00. (Mısır) - Dekar|2004|114900.0|
||2005|102920.0|
||2006|79180.0|
||2007|91583.0|
||2008|126077.0|
||2009|131378.0|
||2010|154817.0|
||2011|230971.0|
||2012|382539.0|
||2013|341310.0|
||2014|372185.0|
||2015|548861.0|
||2016|634981.0|
||2017|637972.0|
||2018|1074626.0|
||2019|1245353.0|
||2020|1033998.0|
||2021|1241821.0|
||2022|1862125.0|
||2023|1855054.0|
||2024|1589939.0|
|Hasat Edilen Alan ve 01.11.31.00.02. (Arpa (Diğer)) - Dekar|2004|3178340.0|
||2005|3247160.0|
||2006|3309382.0|
||2007|2743688.0|
||2008|2443951.0|
||2009|2652794.0|
||2010|2531846.0|
||2011|2180938.0|
||2012|2438856.0|
||2013|2306009.0|
||2014|2322761.0|
||2015|2416454.0|
||2016|2714218.0|
||2017|2422416.0|
||2018|2725640.0|
||2019|3053198.0|
||2020|3154438.0|
||2021|3285336.0|
||2022|3331078.0|
||2023|3302631.0|
||2024|2975633.0|
